,name,url,state,district,party,chamber,term-start,term-end
249,"Crenshaw, Ander",https://www.congress.gov/member/ander-crenshaw/C001045,Florida,4,Republican,House,2001,2017
250,"Crenshaw, Dan",https://www.congress.gov/member/dan-crenshaw/C001120,Texas,2,Republican,House,2019,
251,"Crist, Charlie",https://www.congress.gov/member/charlie-crist/C001111,Florida,13,Democratic,House,2017,
252,"Critz, Mark S.",https://www.congress.gov/member/mark-critz/C001081,Pennsylvania,12,Democratic,House,2010,2013
253,"Crow, Jason",https://www.congress.gov/member/jason-crow/C001121,Colorado,6,Democratic,House,2019,
254,"Crowley, Joseph",https://www.congress.gov/member/joseph-crowley/C001038,New York,14,Democratic,House,1999,2019
255,"Cruz, Ted",https://www.congress.gov/member/ted-cruz/C001098,Texas,N/A,Republican,Senate,2013,
256,"Cuellar, Henry",https://www.congress.gov/member/henry-cuellar/C001063,Texas,28,Democratic,House,2005,
257,"Culberson, John Abney",https://www.congress.gov/member/john-culberson/C001048,Texas,7,Republican,House,2001,2019
258,"Cummings, Elijah E.",https://www.congress.gov/member/elijah-cummings/C000984,Maryland,7,Democratic,House,1995,2019
259,"Cunningham, Joe",https://www.congress.gov/member/joe-cunningham/C001122,South Carolina,1,Democratic,House,2019,
260,"Curbelo, Carlos",https://www.congress.gov/member/carlos-curbelo/C001107,Florida,26,Republican,House,2015,2019
261,"Curson, David Alan",https://www.congress.gov/member/david-curson/C001089,Michigan,11,Democratic,House,2012,2013
262,"Curtis, John R.",https://www.congress.gov/member/john-curtis/C001114,Utah,3,Republican,House,2017,
263,"Dahlkemper, Kathleen A.",https://www.congress.gov/member/kathleen-dahlkemper/D000608,Pennsylvania,3,Democratic,House,2009,2011
264,"Daines, Steve",https://www.congress.gov/member/steve-daines/D000618,Montana,N/A,Republican,Senate,2015,
265,"Daines, Steve",https://www.congress.gov/member/steve-daines/D000618,Montana,Missing,Republican,House,2013,2015
266,"Davids, Sharice",https://www.congress.gov/member/sharice-davids/D000629,Kansas,3,Democratic,House,2019,
267,"Davidson, Warren",https://www.congress.gov/member/warren-davidson/D000626,Ohio,8,Republican,House,2016,
268,"Davis, Artur",https://www.congress.gov/member/artur-davis/D000602,Alabama,7,Democratic,House,2003,2011
269,"Davis, Danny K.",https://www.congress.gov/member/danny-davis/D000096,Illinois,7,Democratic,House,1997,
270,"Davis, Geoff",https://www.congress.gov/member/geoff-davis/D000603,Kentucky,4,Republican,House,2005,2012
271,"Davis, Lincoln",https://www.congress.gov/member/lincoln-davis/D000599,Tennessee,4,Democratic,House,2003,2011
272,"Davis, Rodney",https://www.congress.gov/member/rodney-davis/D000619,Illinois,13,Republican,House,2013,
273,"Davis, Susan A.",https://www.congress.gov/member/susan-davis/D000598,California,53,Democratic,House,2001,
274,"Deal, Nathan",https://www.congress.gov/member/nathan-deal/D000168,Georgia,9,Republican,House,1993,2010
275,"Dean, Madeleine",https://www.congress.gov/member/madeleine-dean/D000631,Pennsylvania,4,Democratic,House,2019,
276,"DeFazio, Peter A.",https://www.congress.gov/member/peter-defazio/D000191,Oregon,4,Democratic,House,1987,
277,"DeGette, Diana",https://www.congress.gov/member/diana-degette/D000197,Colorado,1,Democratic,House,1997,
278,"Delahunt, Bill",https://www.congress.gov/member/bill-delahunt/D000210,Massachusetts,10,Democratic,House,1997,2011
279,"Delaney, John K.",https://www.congress.gov/member/john-delaney/D000620,Maryland,6,Democratic,House,2013,2019
280,"DeLauro, Rosa L.",https://www.congress.gov/member/rosa-delauro/D000216,Connecticut,3,Democratic,House,1991,
281,"DelBene, Suzan K.",https://www.congress.gov/member/suzan-delbene/D000617,Washington,1,Democratic,House,2012,
282,"Delgado, Antonio",https://www.congress.gov/member/antonio-delgado/D000630,New York,19,Democratic,House,2019,
283,"Demings, Val Butler",https://www.congress.gov/member/val-demings/D000627,Florida,10,Democratic,House,2017,
284,"DeMint, Jim",https://www.congress.gov/member/james-demint/D000595,South Carolina,N/A,Republican,Senate,2005,2012
285,"DeMint, Jim",https://www.congress.gov/member/james-demint/D000595,South Carolina,Missing,Republican,House,1999,2005
286,"Denham, Jeff",https://www.congress.gov/member/jeff-denham/D000612,California,10,Republican,House,2011,2019
287,"Dent, Charles W.",https://www.congress.gov/member/charles-dent/D000604,Pennsylvania,15,Republican,House,2005,2018
288,"DeSantis, Ron",https://www.congress.gov/member/ron-desantis/D000621,Florida,6,Republican,House,2013,2018
289,"DeSaulnier, Mark",https://www.congress.gov/member/mark-desaulnier/D000623,California,11,Democratic,House,2015,
290,"DesJarlais, Scott",https://www.congress.gov/member/scott-desjarlais/D000616,Tennessee,4,Republican,House,2011,
291,"Deutch, Theodore E.",https://www.congress.gov/member/theodore-deutch/D000610,Florida,22,Democratic,House,2010,
292,"Diaz-Balart, Lincoln",https://www.congress.gov/member/lincoln-diaz-balart/D000299,Florida,21,Republican,House,1993,2011
293,"Diaz-Balart, Mario",https://www.congress.gov/member/mario-diaz-balart/D000600,Florida,25,Republican,House,2003,
294,"Dicks, Norman D.",https://www.congress.gov/member/norman-dicks/D000327,Washington,6,Democratic,House,1977,2013
295,"Dingell, Debbie",https://www.congress.gov/member/debbie-dingell/D000624,Michigan,12,Democratic,House,2015,
296,"Dingell, John D.",https://www.congress.gov/member/john-dingell/D000355,Michigan,12,Democratic,House,1955,2015
297,"Djou, Charles K.",https://www.congress.gov/member/charles-djou/D000611,Hawaii,1,Republican,House,2010,2011
298,"Dodd, Christopher J.",https://www.congress.gov/member/christopher-dodd/D000388,Connecticut,N/A,Democratic,Senate,1981,2011
299,"Dodd, Christopher J.",https://www.congress.gov/member/christopher-dodd/D000388,Connecticut,Missing,Democratic,House,1975,1981
300,"Doggett, Lloyd",https://www.congress.gov/member/lloyd-doggett/D000399,Texas,35,Democratic,House,1995,
301,"Dold, Robert J.",https://www.congress.gov/member/robert-dold/D000613,Illinois,10,Republican,House,2011,2013
302,"Dold, Robert J.",https://www.congress.gov/member/robert-dold/D000613,Illinois,10,Republican,House,2015,2017
303,"Donnelly, Joe",https://www.congress.gov/member/joe-donnelly/D000607,Indiana,N/A,Democratic,Senate,2013,2019
304,"Donnelly, Joe",https://www.congress.gov/member/joe-donnelly/D000607,Indiana,Missing,Democratic,House,2007,2013
305,"Donovan, Daniel M., Jr.",https://www.congress.gov/member/daniel-donovan/D000625,New York,11,Republican,House,2015,2019
306,"Dorgan, Byron L.",https://www.congress.gov/member/byron-dorgan/D000432,North Dakota,N/A,Democratic,Senate,1991,2011
307,"Dorgan, Byron L.",https://www.congress.gov/member/byron-dorgan/D000432,North Dakota,Missing,Democratic,House,1981,1993
308,"Doyle, Michael F.",https://www.congress.gov/member/mike-doyle/D000482,Pennsylvania,18,Democratic,House,1995,
309,"Dreier, David",https://www.congress.gov/member/david-dreier/D000492,California,26,Republican,House,1981,2013
310,"Driehaus, Steve",https://www.congress.gov/member/steve-driehaus/D000609,Ohio,1,Democratic,House,2009,2011
311,"Duckworth, Tammy",https://www.congress.gov/member/tammy-duckworth/D000622,Illinois,N/A,Democratic,Senate,2017,
312,"Duckworth, Tammy",https://www.congress.gov/member/tammy-duckworth/D000622,Illinois,Missing,Democratic,House,2013,2017
313,"Duffy, Sean P.",https://www.congress.gov/member/sean-duffy/D000614,Wisconsin,7,Republican,House,2011,2019
314,"Duncan, Jeff",https://www.congress.gov/member/jeff-duncan/D000615,South Carolina,3,Republican,House,2011,
315,"Duncan, John J., Jr.",https://www.congress.gov/member/john-duncan/D000533,Tennessee,2,Republican,House,1987,2019
316,"Dunn, Neal P.",https://www.congress.gov/member/neal-dunn/D000628,Florida,2,Republican,House,2017,
317,"Durbin, Richard J.",https://www.congress.gov/member/richard-durbin/D000563,Illinois,N/A,Democratic,Senate,1997,
318,"Durbin, Richard J.",https://www.congress.gov/member/richard-durbin/D000563,Illinois,Missing,Democratic,House,1983,1997
319,"Edwards, Chet",https://www.congress.gov/member/chet-edwards/E000063,Texas,17,Democratic,House,1991,2011
320,"Edwards, Donna F.",https://www.congress.gov/member/donna-edwards/E000290,Maryland,4,Democratic,House,2008,2017
321,"Ehlers, Vernon J.",https://www.congress.gov/member/vernon-ehlers/E000092,Michigan,3,Republican,House,1993,2011
322,"Ellison, Keith",https://www.congress.gov/member/keith-ellison/E000288,Minnesota,5,Democratic,House,2007,2019
323,"Ellmers, Renee L.",https://www.congress.gov/member/renee-ellmers/E000291,North Carolina,2,Republican,House,2011,2017
324,"Ellsworth, Brad",https://www.congress.gov/member/brad-ellsworth/E000289,Indiana,8,Democratic,House,2007,2011
325,"Emerson, Jo Ann",https://www.congress.gov/member/jo-emerson/E000172,Missouri,8,Republican,House,1997,2013
326,"Emmer, Tom",https://www.congress.gov/member/tom-emmer/E000294,Minnesota,6,Republican,House,2015,
327,"Engel, Eliot L.",https://www.congress.gov/member/eliot-engel/E000179,New York,16,Democratic,House,1989,
328,"Ensign, John",https://www.congress.gov/member/john-ensign/E000194,Nevada,N/A,Republican,Senate,2001,2011
329,"Ensign, John",https://www.congress.gov/member/john-ensign/E000194,Nevada,Missing,Republican,House,1995,1999
330,"Enyart, William L.",https://www.congress.gov/member/william-enyart/E000292,Illinois,12,Democratic,House,2013,2015
331,"Enzi, Michael B.",https://www.congress.gov/member/michael-enzi/E000285,Wyoming,N/A,Republican,Senate,1997,
332,"Ernst, Joni",https://www.congress.gov/member/joni-ernst/E000295,Iowa,N/A,Republican,Senate,2015,
333,"Escobar, Veronica",https://www.congress.gov/member/veronica-escobar/E000299,Texas,16,Democratic,House,2019,
334,"Eshoo, Anna G.",https://www.congress.gov/member/anna-eshoo/E000215,California,18,Democratic,House,1993,
335,"Espaillat, Adriano",https://www.congress.gov/member/adriano-espaillat/E000297,New York,13,Democratic,House,2017,
336,"Estes, Ron",https://www.congress.gov/member/ron-estes/E000298,Kansas,4,Republican,House,2017,
337,"Esty, Elizabeth H.",https://www.congress.gov/member/elizabeth-esty/E000293,Connecticut,5,Democratic,House,2013,2019
338,"Etheridge, Bob",https://www.congress.gov/member/bob-etheridge/E000226,North Carolina,2,Democratic,House,1997,2011
339,"Evans, Dwight",https://www.congress.gov/member/dwight-evans/E000296,Pennsylvania,3,Democratic,House,2016,
340,"Faleomavaega, Eni F. H.",https://www.congress.gov/member/eni-faleomavaega/F000010,American Samoa,Missing,Democratic,House,1989,2015
341,"Fallin, Mary",https://www.congress.gov/member/mary-fallin/F000453,Oklahoma,5,Republican,House,2007,2011
342,"Farenthold, Blake",https://www.congress.gov/member/blake-farenthold/F000460,Texas,27,Republican,House,2011,2018
343,"Farr, Sam",https://www.congress.gov/member/sam-farr/F000030,California,20,Democratic,House,1993,2017
344,"Faso, John J.",https://www.congress.gov/member/john-faso/F000464,New York,19,Republican,House,2017,2019
345,"Fattah, Chaka",https://www.congress.gov/member/chaka-fattah/F000043,Pennsylvania,2,Democratic,House,1995,2016
346,"Feingold, Russell D.",https://www.congress.gov/member/russell-feingold/F000061,Wisconsin,N/A,Democratic,Senate,1993,2011
347,"Feinstein, Dianne",https://www.congress.gov/member/dianne-feinstein/F000062,California,N/A,Democratic,Senate,1992,
348,"Ferguson, A. Drew, IV",https://www.congress.gov/member/a-ferguson/F000465,Georgia,3,Republican,House,2017,
349,"Filner, Bob",https://www.congress.gov/member/bob-filner/F000116,California,51,Democratic,House,1993,2013
350,"Fincher, Stephen Lee",https://www.congress.gov/member/stephen-fincher/F000458,Tennessee,8,Republican,House,2011,2017
351,"Finkenauer, Abby",https://www.congress.gov/member/abby-finkenauer/F000467,Iowa,1,Democratic,House,2019,
352,"Fischer, Deb",https://www.congress.gov/member/deb-fischer/F000463,Nebraska,N/A,Republican,Senate,2013,
353,"Fitzpatrick, Brian K.",https://www.congress.gov/member/brian-fitzpatrick/F000466,Pennsylvania,1,Republican,House,2017,
354,"Fitzpatrick, Michael G.",https://www.congress.gov/member/michael-fitzpatrick/F000451,Pennsylvania,8,Republican,House,2005,2007
355,"Fitzpatrick, Michael G.",https://www.congress.gov/member/michael-fitzpatrick/F000451,Pennsylvania,8,Republican,House,2011,2017
356,"Flake, Jeff",https://www.congress.gov/member/jeff-flake/F000444,Arizona,N/A,Republican,Senate,2013,2019
357,"Flake, Jeff",https://www.congress.gov/member/jeff-flake/F000444,Arizona,Missing,Republican,House,2001,2013
358,"Fleischmann, Charles J. ""Chuck""",https://www.congress.gov/member/charles-fleischmann/F000459,Tennessee,3,Republican,House,2011,
359,"Fleming, John",https://www.congress.gov/member/john-fleming/F000456,Louisiana,4,Republican,House,2009,2017
360,"Fletcher, Lizzie",https://www.congress.gov/member/lizzie-fletcher/F000468,Texas,7,Democratic,House,2019,
361,"Flores, Bill",https://www.congress.gov/member/bill-flores/F000461,Texas,17,Republican,House,2011,
362,"Forbes, J. Randy",https://www.congress.gov/member/j-forbes/F000445,Virginia,4,Republican,House,2001,2017
363,"Fortenberry, Jeff",https://www.congress.gov/member/jeff-fortenberry/F000449,Nebraska,1,Republican,House,2005,
364,"Foster, Bill",https://www.congress.gov/member/bill-foster/F000454,Illinois,11,Democratic,House,2008,2011
365,"Foster, Bill",https://www.congress.gov/member/bill-foster/F000454,Illinois,11,Democratic,House,2013,
366,"Foxx, Virginia",https://www.congress.gov/member/virginia-foxx/F000450,North Carolina,5,Republican,House,2005,
367,"Frank, Barney",https://www.congress.gov/member/barney-frank/F000339,Massachusetts,4,Democratic,House,1981,2013
368,"Frankel, Lois",https://www.congress.gov/member/lois-frankel/F000462,Florida,21,Democratic,House,2013,
369,"Franken, Al",https://www.congress.gov/member/al-franken/F000457,Minnesota,N/A,Democratic,Senate,2009,2018
370,"Franks, Trent",https://www.congress.gov/member/trent-franks/F000448,Arizona,8,Republican,House,2003,2017
371,"Frelinghuysen, Rodney P.",https://www.congress.gov/member/rodney-frelinghuysen/F000372,New Jersey,11,Republican,House,1995,2019
372,"Fudge, Marcia L.",https://www.congress.gov/member/marcia-fudge/F000455,Ohio,11,Democratic,House,2008,
373,"Fulcher, Russ",https://www.congress.gov/member/russ-fulcher/F000469,Idaho,1,Republican,House,2019,
374,"Gabbard, Tulsi",https://www.congress.gov/member/tulsi-gabbard/G000571,Hawaii,2,Democratic,House,2013,
375,"Gaetz, Matt",https://www.congress.gov/member/matt-gaetz/G000578,Florida,1,Republican,House,2017,
376,"Gallagher, Mike",https://www.congress.gov/member/mike-gallagher/G000579,Wisconsin,8,Republican,House,2017,
377,"Gallegly, Elton",https://www.congress.gov/member/elton-gallegly/G000021,California,24,Republican,House,1987,2013
378,"Gallego, Pete P.",https://www.congress.gov/member/pete-gallego/G000572,Texas,23,Democratic,House,2013,2015
379,"Gallego, Ruben",https://www.congress.gov/member/ruben-gallego/G000574,Arizona,7,Democratic,House,2015,
380,"Garamendi, John",https://www.congress.gov/member/john-garamendi/G000559,California,3,Democratic,House,2009,
381,"Garcia, Jesus G.",https://www.congress.gov/member/jesus-garcia/G000586,Illinois,4,Democratic,House,2019,
382,"Garcia, Joe",https://www.congress.gov/member/joe-garcia/G000573,Florida,26,Democratic,House,2013,2015
383,"Garcia, Sylvia R.",https://www.congress.gov/member/sylvia-garcia/G000587,Texas,29,Democratic,House,2019,
384,"Gardner, Cory",https://www.congress.gov/member/cory-gardner/G000562,Colorado,N/A,Republican,Senate,2015,
385,"Gardner, Cory",https://www.congress.gov/member/cory-gardner/G000562,Colorado,Missing,Republican,House,2011,2015
386,"Garrett, Scott",https://www.congress.gov/member/scott-garrett/G000548,New Jersey,5,Republican,House,2003,2017
387,"Garrett, Thomas A., Jr.",https://www.congress.gov/member/thomas-garrett/G000580,Virginia,5,Republican,House,2017,2019
388,"Gerlach, Jim",https://www.congress.gov/member/jim-gerlach/G000549,Pennsylvania,6,Republican,House,2003,2015
389,"Gianforte, Greg",https://www.congress.gov/member/greg-gianforte/G000584,Montana,Missing,Republican,House,2017,
390,"Gibbs, Bob",https://www.congress.gov/member/bob-gibbs/G000563,Ohio,7,Republican,House,2011,
391,"Gibson, Christopher P.",https://www.congress.gov/member/christopher-gibson/G000564,New York,19,Republican,House,2011,2017
392,"Giffords, Gabrielle",https://www.congress.gov/member/gabrielle-giffords/G000554,Arizona,8,Democratic,House,2007,2012
393,"Gillibrand, Kirsten E.",https://www.congress.gov/member/kirsten-gillibrand/G000555,New York,N/A,Democratic,Senate,2009,
394,"Gillibrand, Kirsten E.",https://www.congress.gov/member/kirsten-gillibrand/G000555,New York,Missing,Democratic,House,2007,2009
395,"Gingrey, Phil",https://www.congress.gov/member/phil-gingrey/G000550,Georgia,11,Republican,House,2003,2015
396,"Gohmert, Louie",https://www.congress.gov/member/louie-gohmert/G000552,Texas,1,Republican,House,2005,
397,"Golden, Jared F.",https://www.congress.gov/member/jared-golden/G000592,Maine,2,Democratic,House,2019,
398,"Gomez, Jimmy",https://www.congress.gov/member/jimmy-gomez/G000585,California,34,Democratic,House,2017,
399,"Gonzalez, Anthony",https://www.congress.gov/member/anthony-gonzalez/G000588,Ohio,16,Republican,House,2019,
400,"Gonzalez, Charles A.",https://www.congress.gov/member/charles-gonzalez/G000544,Texas,20,Democratic,House,1999,2013
401,"Gonzalez, Vicente",https://www.congress.gov/member/vicente-gonzalez/G000581,Texas,15,Democratic,House,2017,
402,"Gonzalez-Colon, Jenniffer",https://www.congress.gov/member/jenniffer-gonzalez-colon/G000582,Puerto Rico,Missing,Republican,House,2017,
403,"Gooden, Lance",https://www.congress.gov/member/lance-gooden/G000589,Texas,5,Republican,House,2019,
404,"Goodlatte, Bob",https://www.congress.gov/member/robert-goodlatte/G000289,Virginia,6,Republican,House,1993,2019
405,"Goodwin, Carte Patrick",https://www.congress.gov/member/carte-goodwin/G000561,West Virginia,N/A,Democratic,Senate,2010,2010
406,"Gordon, Bart",https://www.congress.gov/member/bart-gordon/G000309,Tennessee,6,Democratic,House,1985,2011
407,"Gosar, Paul A.",https://www.congress.gov/member/paul-gosar/G000565,Arizona,4,Republican,House,2011,
408,"Gottheimer, Josh",https://www.congress.gov/member/josh-gottheimer/G000583,New Jersey,5,Democratic,House,2017,
409,"Gowdy, Trey",https://www.congress.gov/member/trey-gowdy/G000566,South Carolina,4,Republican,House,2011,2019
410,"Graham, Gwen",https://www.congress.gov/member/gwen-graham/G000575,Florida,2,Democratic,House,2015,2017
411,"Graham, Lindsey",https://www.congress.gov/member/lindsey-graham/G000359,South Carolina,N/A,Republican,Senate,2003,
412,"Graham, Lindsey",https://www.congress.gov/member/lindsey-graham/G000359,South Carolina,Missing,Republican,House,1995,2003
413,"Granger, Kay",https://www.congress.gov/member/kay-granger/G000377,Texas,12,Republican,House,1997,
414,"Grassley, Chuck",https://www.congress.gov/member/charles-grassley/G000386,Iowa,N/A,Republican,Senate,1981,
415,"Grassley, Chuck",https://www.congress.gov/member/charles-grassley/G000386,Iowa,Missing,Republican,House,1975,1981
416,"Graves, Garret",https://www.congress.gov/member/garret-graves/G000577,Louisiana,6,Republican,House,2015,
417,"Graves, Sam",https://www.congress.gov/member/sam-graves/G000546,Missouri,6,Republican,House,2001,
418,"Graves, Tom",https://www.congress.gov/member/tom-graves/G000560,Georgia,14,Republican,House,2010,
419,"Grayson, Alan",https://www.congress.gov/member/alan-grayson/G000556,Florida,9,Democratic,House,2009,2011
420,"Grayson, Alan",https://www.congress.gov/member/alan-grayson/G000556,Florida,9,Democratic,House,2013,2017
421,"Green, Al",https://www.congress.gov/member/al-green/G000553,Texas,9,Democratic,House,2005,
422,"Green, Gene",https://www.congress.gov/member/gene-green/G000410,Texas,29,Democratic,House,1993,2019
423,"Green, Mark E.",https://www.congress.gov/member/mark-green/G000590,Tennessee,7,Republican,House,2019,
424,"Gregg, Judd",https://www.congress.gov/member/judd-gregg/G000445,New Hampshire,N/A,Republican,Senate,1993,2011
425,"Gregg, Judd",https://www.congress.gov/member/judd-gregg/G000445,New Hampshire,Missing,Republican,House,1981,1989
426,"Griffin, Tim",https://www.congress.gov/member/tim-griffin/G000567,Arkansas,2,Republican,House,2011,2015
427,"Griffith, H. Morgan",https://www.congress.gov/member/h-griffith/G000568,Virginia,9,Republican,House,2011,
428,"Griffith, Parker",https://www.congress.gov/member/parker-griffith/G000557,Alabama,5,Republican,House,2009,2011
429,"Grijalva, Raul M.",https://www.congress.gov/member/raul-grijalva/G000551,Arizona,3,Democratic,House,2003,
430,"Grimm, Michael G.",https://www.congress.gov/member/michael-grimm/G000569,New York,11,Republican,House,2011,2015
431,"Grothman, Glenn",https://www.congress.gov/member/glenn-grothman/G000576,Wisconsin,6,Republican,House,2015,
432,"Guest, Michael",https://www.congress.gov/member/michael-guest/G000591,Mississippi,3,Republican,House,2019,
433,"Guinta, Frank C.",https://www.congress.gov/member/frank-guinta/G000570,New Hampshire,1,Republican,House,2011,2013
434,"Guinta, Frank C.",https://www.congress.gov/member/frank-guinta/G000570,New Hampshire,1,Republican,House,2015,2017
435,"Guthrie, Brett",https://www.congress.gov/member/brett-guthrie/G000558,Kentucky,2,Republican,House,2009,
436,"Gutierrez, Luis V.",https://www.congress.gov/member/luis-gutierrez/G000535,Illinois,4,Democratic,House,1993,2019
437,"Haaland, Debra A.",https://www.congress.gov/member/debra-haaland/H001080,New Mexico,1,Democratic,House,2019,
438,"Hagan, Kay R.",https://www.congress.gov/member/kay-hagan/H001049,North Carolina,N/A,Democratic,Senate,2009,2015
439,"Hagedorn, Jim",https://www.congress.gov/member/jim-hagedorn/H001088,Minnesota,1,Republican,House,2019,
440,"Hahn, Janice",https://www.congress.gov/member/janice-hahn/H001063,California,44,Democratic,House,2011,2017
441,"Hall, John J.",https://www.congress.gov/member/john-hall/H001039,New York,19,Democratic,House,2007,2011
442,"Hall, Ralph M.",https://www.congress.gov/member/ralph-hall/H000067,Texas,4,Republican,House,1981,2015
443,"Halvorson, Deborah L.",https://www.congress.gov/member/deborah-halvorson/H001044,Illinois,11,Democratic,House,2009,2011
444,"Hanabusa, Colleen",https://www.congress.gov/member/colleen-hanabusa/H001050,Hawaii,1,Democratic,House,2011,2019
445,"Handel, Karen C.",https://www.congress.gov/member/karen-handel/H001078,Georgia,6,Republican,House,2017,2019
446,"Hanna, Richard L.",https://www.congress.gov/member/richard-hanna/H001051,New York,22,Republican,House,2011,2017
447,"Harder, Josh",https://www.congress.gov/member/josh-harder/H001090,California,10,Democratic,House,2019,
448,"Hardy, Cresent",https://www.congress.gov/member/cresent-hardy/H001070,Nevada,4,Republican,House,2015,2017
449,"Hare, Phil",https://www.congress.gov/member/phil-hare/H001040,Illinois,17,Democratic,House,2007,2011
450,"Harkin, Tom",https://www.congress.gov/member/thomas-harkin/H000206,Iowa,N/A,Democratic,Senate,1985,2015
451,"Harkin, Tom",https://www.congress.gov/member/thomas-harkin/H000206,Iowa,Missing,Democratic,House,1975,1985
452,"Harman, Jane",https://www.congress.gov/member/jane-harman/H000213,California,36,Democratic,House,1993,1999
453,"Harman, Jane",https://www.congress.gov/member/jane-harman/H000213,California,36,Democratic,House,2001,2011
454,"Harper, Gregg",https://www.congress.gov/member/gregg-harper/H001045,Mississippi,3,Republican,House,2009,2019
455,"Harris, Andy",https://www.congress.gov/member/andy-harris/H001052,Maryland,1,Republican,House,2011,
456,"Harris, Kamala D.",https://www.congress.gov/member/kamala-harris/H001075,California,N/A,Democratic,Senate,2017,
457,"Hartzler, Vicky",https://www.congress.gov/member/vicky-hartzler/H001053,Missouri,4,Republican,House,2011,
458,"Hassan, Margaret Wood",https://www.congress.gov/member/margaret-hassan/H001076,New Hampshire,N/A,Democratic,Senate,2017,
459,"Hastings, Alcee L.",https://www.congress.gov/member/alcee-hastings/H000324,Florida,20,Democratic,House,1993,
460,"Hastings, Doc",https://www.congress.gov/member/doc-hastings/H000329,Washington,4,Republican,House,1995,2015
461,"Hatch, Orrin G.",https://www.congress.gov/member/orrin-hatch/H000338,Utah,N/A,Republican,Senate,1977,2019
462,"Hawley, Josh",https://www.congress.gov/member/josh-hawley/H001089,Missouri,N/A,Republican,Senate,2019,
463,"Hayes, Jahana",https://www.congress.gov/member/jahana-hayes/H001081,Connecticut,5,Democratic,House,2019,
464,"Hayworth, Nan A. S.",https://www.congress.gov/member/nan-hayworth/H001054,New York,19,Republican,House,2011,2013
465,"Heck, Denny",https://www.congress.gov/member/denny-heck/H001064,Washington,10,Democratic,House,2013,
466,"Heck, Joseph J.",https://www.congress.gov/member/joseph-heck/H001055,Nevada,3,Republican,House,2011,2017
467,"Heinrich, Martin",https://www.congress.gov/member/martin-heinrich/H001046,New Mexico,N/A,Democratic,Senate,2013,
468,"Heinrich, Martin",https://www.congress.gov/member/martin-heinrich/H001046,New Mexico,Missing,Democratic,House,2009,2013
469,"Heitkamp, Heidi",https://www.congress.gov/member/heidi-heitkamp/H001069,North Dakota,N/A,Democratic,Senate,2013,2019
470,"Heller, Dean",https://www.congress.gov/member/dean-heller/H001041,Nevada,N/A,Republican,Senate,2011,2019
471,"Heller, Dean",https://www.congress.gov/member/dean-heller/H001041,Nevada,Missing,Republican,House,2007,2011
472,"Hensarling, Jeb",https://www.congress.gov/member/jeb-hensarling/H001036,Texas,5,Republican,House,2003,2019
473,"Herger, Wally",https://www.congress.gov/member/wally-herger/H000528,California,2,Republican,House,1987,2013
474,"Hern, Kevin",https://www.congress.gov/member/kevin-hern/H001082,Oklahoma,1,Republican,House,2018,
475,"Herrera Beutler, Jaime",https://www.congress.gov/member/jaime-herrera-beutler/H001056,Washington,3,Republican,House,2011,
476,"Herseth Sandlin, Stephanie",https://www.congress.gov/member/stephanie-herseth-sandlin/H001037,South Dakota,Missing,Democratic,House,2004,2011
477,"Hice, Jody B.",https://www.congress.gov/member/jody-hice/H001071,Georgia,10,Republican,House,2015,
478,"Higgins, Brian",https://www.congress.gov/member/brian-higgins/H001038,New York,26,Democratic,House,2005,
479,"Higgins, Clay",https://www.congress.gov/member/clay-higgins/H001077,Louisiana,3,Republican,House,2017,
480,"Hill, Baron P.",https://www.congress.gov/member/baron-hill/H001030,Indiana,9,Democratic,House,1999,2005
481,"Hill, Baron P.",https://www.congress.gov/member/baron-hill/H001030,Indiana,9,Democratic,House,2007,2011
482,"Hill, J. French",https://www.congress.gov/member/j-hill/H001072,Arkansas,2,Republican,House,2015,
483,"Hill, Katie",https://www.congress.gov/member/katie-hill/H001087,California,25,Democratic,House,2019,2019
484,"Himes, James A.",https://www.congress.gov/member/james-himes/H001047,Connecticut,4,Democratic,House,2009,
485,"Hinchey, Maurice D.",https://www.congress.gov/member/maurice-hinchey/H000627,New York,22,Democratic,House,1993,2013
486,"Hinojosa, Ruben",https://www.congress.gov/member/ruben-hinojosa/H000636,Texas,15,Democratic,House,1997,2017
487,"Hirono, Mazie K.",https://www.congress.gov/member/mazie-hirono/H001042,Hawaii,N/A,Democratic,Senate,2013,
488,"Hirono, Mazie K.",https://www.congress.gov/member/mazie-hirono/H001042,Hawaii,Missing,Democratic,House,2007,2013
489,"Hochul, Kathleen C.",https://www.congress.gov/member/kathleen-hochul/H001062,New York,26,Democratic,House,2011,2013
490,"Hodes, Paul W.",https://www.congress.gov/member/paul-hodes/H001043,New Hampshire,2,Democratic,House,2007,2011
491,"Hoekstra, Peter",https://www.congress.gov/member/peter-hoekstra/H000676,Michigan,2,Republican,House,1993,2011
492,"Hoeven, John",https://www.congress.gov/member/john-hoeven/H001061,North Dakota,N/A,Republican,Senate,2011,
493,"Holden, Tim",https://www.congress.gov/member/tim-holden/H000712,Pennsylvania,17,Democratic,House,1993,2013
494,"Holding, George",https://www.congress.gov/member/george-holding/H001065,North Carolina,2,Republican,House,2013,
495,"Hollingsworth, Trey",https://www.congress.gov/member/trey-hollingsworth/H001074,Indiana,9,Republican,House,2017,
496,"Holt, Rush",https://www.congress.gov/member/rush-holt/H001032,New Jersey,12,Democratic,House,1999,2015
