name,url,party,state,district,chamber,start,end
"Bond, Christopher S.",https://www.congress.gov/member/christopher-bond/B000611,Republican,Missouri,N/A,Senate,1987,2011
"Bonner, Jo",https://www.congress.gov/member/jo-bonner/B001244,Republican,Alabama,1,House,2003,2013
"Bono Mack, Mary",https://www.congress.gov/member/mary-bono-mack/B001228,Republican,California,45,House,2003,2013
"Bono Mack, Mary",https://www.congress.gov/member/mary-bono-mack/B001228,Republican,California,44,House,1997,2003
"Booker, Cory A.",https://www.congress.gov/member/cory-booker/B001288,Democratic,New Jersey,N/A,Senate,2013,inf
"Boozman, John",https://www.congress.gov/member/john-boozman/B001236,Republican,Arkansas,0,Senate,2011,inf
"Boozman, John",https://www.congress.gov/member/john-boozman/B001236,Republican,Arkansas,3,House,2001,2011
"Bordallo, Madeleine Z.",https://www.congress.gov/member/madeleine-bordallo/B001245,Democratic,Guam,At Large,House,2003,2019
"Boren, Dan",https://www.congress.gov/member/dan-boren/B001254,Democratic,Oklahoma,2,House,2005,2013
"Bost, Mike",https://www.congress.gov/member/mike-bost/B001295,Republican,Illinois,12,House,2015,inf
"Boswell, Leonard L.",https://www.congress.gov/member/leonard-boswell/B000652,Democratic,Iowa,3,House,1997,2013
"Boucher, Rick",https://www.congress.gov/member/rick-boucher/B000657,Democratic,Virginia,9,House,1983,2011
"Boustany, Charles W., Jr.",https://www.congress.gov/member/charles-boustany/B001255,Republican,Louisiana,3,House,2013,2017
"Boustany, Charles W., Jr.",https://www.congress.gov/member/charles-boustany/B001255,Republican,Louisiana,7,House,2005,2013
"Boxer, Barbara",https://www.congress.gov/member/barbara-boxer/B000711,Democratic,California,0,Senate,1993,2017
"Boxer, Barbara",https://www.congress.gov/member/barbara-boxer/B000711,Democratic,California,6,House,1983,1993
"Boyd, Allen",https://www.congress.gov/member/allen-boyd/B000716,Democratic,Florida,2,House,1997,2011
"Boyle, Brendan F.",https://www.congress.gov/member/brendan-boyle/B001296,Democratic,Pennsylvania,2,House,2019,inf
"Boyle, Brendan F.",https://www.congress.gov/member/brendan-boyle/B001296,Democratic,Pennsylvania,13,House,2015,2019
"Brady, Kevin",https://www.congress.gov/member/kevin-brady/B000755,Republican,Texas,8,House,1997,inf
"Brady, Robert A.",https://www.congress.gov/member/robert-brady/B001227,Democratic,Pennsylvania,1,House,1997,2019
"Braley, Bruce L.",https://www.congress.gov/member/bruce-braley/B001259,Democratic,Iowa,1,House,2007,2015
"Brat, Dave",https://www.congress.gov/member/dave-brat/B001290,Republican,Virginia,7,House,2014,2019
"Braun, Mike",https://www.congress.gov/member/mike-braun/B001310,Republican,Indiana,N/A,Senate,2019,inf
"Bridenstine, Jim",https://www.congress.gov/member/jim-bridenstine/B001283,Republican,Oklahoma,1,House,2013,2018
"Bright, Bobby",https://www.congress.gov/member/bobby-bright/B001264,Democratic,Alabama,2,House,2009,2011
"Brindisi, Anthony",https://www.congress.gov/member/anthony-brindisi/B001308,Democratic,New York,22,House,2019,inf
